ls11cd,la11nm,london_imd_rank,london_imd_decile,Index of Multiple Deprivation (IMD) Score,Income Score (rate),Employment Score (rate),"Education, Skills and Training Score",Health Deprivation and Disability Score,Crime Score,Barriers to Housing and Services Score,Living Environment Score
E01000221,Barnet,72,1,45.842,0.28,0.186,23.471,0.346,1.127,55.984,29.763
E01000222,Barnet,1524,4,27.098,0.163,0.13,12.267,-0.287,0.729,37.056,29.883
E01000223,Barnet,551,2,35.812,0.225,0.142,21.168,-0.005,0.888,47.877,28.472
E01000224,Barnet,2513,6,19.679,0.152,0.097,14.005,-0.928,-0.054,29.827,27.142
E01000225,Barnet,3834,8,10.981,0.066,0.054,6.55,-1.052,-0.009,28.248,22.709
E01000226,Barnet,950,2,31.658,0.224,0.123,23.481,0.373,-0.171,41.017,30.803
E01000227,Barnet,3987,9,9.965,0.082,0.052,4.644,-1.687,-0.601,29.152,18.465
E01000228,Barnet,3620,8,12.492,0.079,0.055,5.053,-1.232,0.618,28.384,17.002
E01000229,Barnet,2256,5,21.609,0.135,0.108,11.185,-0.868,0.071,43.196,18.134
E01000230,Barnet,4330,9,7.886,0.071,0.044,8.824,-1.463,-0.336,20.598,14.054
E01000231,Barnet,2833,6,17.628,0.103,0.063,4.325,-1.112,0.156,46.81,22.468
E01000232,Barnet,3305,7,14.534,0.114,0.072,5.022,-0.843,0.019,29.815,20.257
E01000233,Barnet,4170,9,8.853,0.069,0.054,4.009,-1.829,-0.162,22.349,20.027
E01000234,Barnet,4204,9,8.657,0.067,0.047,3.867,-1.185,-0.259,25.044,18.383
E01000235,Barnet,2013,5,23.347,0.164,0.101,18.521,-0.622,0.481,31.954,28.246
E01000236,Barnet,3888,9,10.572,0.079,0.059,3.637,-1.135,-0.545,25.167,26.189
E01000237,Barnet,4046,9,9.545,0.055,0.036,1.569,-1.722,0.266,26.964,29.614
E01000238,Barnet,3316,7,14.457,0.096,0.074,4.747,-1.429,-0.19,30.448,31.179
E01000239,Barnet,2264,5,21.568,0.137,0.077,6.545,-0.872,-0.006,50.079,25.352
E01000240,Barnet,2529,6,19.599,0.118,0.065,5.762,-1.108,0.071,48.523,28.397
E01000241,Barnet,3876,9,10.706,0.071,0.04,1.467,-1.771,-0.181,34.775,24.967
E01000242,Barnet,2599,6,19.154,0.125,0.084,3.59,-0.959,0.287,42.621,21.089
E01000243,Barnet,3377,7,14.093,0.084,0.053,4.629,-0.996,0.105,30.061,37.611
E01000244,Barnet,3131,7,15.649,0.076,0.056,6.449,-1.024,0.292,29.684,45.264
E01000245,Barnet,1907,4,24.116,0.168,0.119,11.778,-0.366,0.449,31.387,29.665
E01000246,Barnet,3885,9,10.621,0.048,0.04,1.711,-1.472,0.498,33.776,21.694
E01000247,Barnet,3961,9,10.138,0.077,0.066,2.68,-1.249,-0.555,28.98,13.317
E01000248,Barnet,4428,10,7.296,0.046,0.036,1.477,-1.413,0.52,17.762,19.701
E01000249,Barnet,4626,10,5.863,0.026,0.044,1.17,-1.947,0.087,21.352,16.223
E01000250,Barnet,3547,8,13.03,0.107,0.071,3.559,-1.451,0.064,26.11,20.775
E01000251,Barnet,2641,6,18.853,0.144,0.114,7.175,-0.578,0.114,24.873,22.749
E01000252,Barnet,3490,8,13.376,0.099,0.074,2.148,-1.04,0.165,30.622,13.639
E01000253,Barnet,4068,9,9.449,0.043,0.032,3.48,-0.861,0.187,36.662,11.349
E01000254,Barnet,4347,9,7.764,0.04,0.028,2.182,-1.332,-0.121,26.527,29.206
E01000255,Barnet,2659,6,18.729,0.149,0.097,6.712,-1.007,0.195,30.356,24.066
E01000256,Barnet,3884,9,10.628,0.079,0.043,3.474,-1.523,0.014,32.338,18.002
E01000257,Barnet,1799,4,25.001,0.168,0.119,17.095,-0.383,0.252,38.645,21.402
E01000258,Barnet,4120,9,9.156,0.058,0.04,3.553,-1.215,0.361,21.856,25.212
E01000259,Barnet,3493,8,13.364,0.095,0.066,3.908,-1.594,0.318,30.248,19.213
E01000260,Barnet,2481,6,19.85,0.11,0.074,10.626,-0.992,0.203,46.598,24.416
E01000261,Barnet,4369,10,7.628,0.046,0.029,1.12,-1.964,-0.944,35.954,18.535
E01000262,Barnet,3741,8,11.643,0.094,0.046,7.639,-1.535,-0.404,34.821,15.179
E01000263,Barnet,4625,10,5.865,0.024,0.024,1.201,-2.094,-0.311,27.802,20.901
E01000264,Barnet,2992,7,16.482,0.116,0.077,5.608,-1.209,0.195,30.864,29.859
E01000265,Barnet,3215,7,15.103,0.126,0.08,6.251,-0.774,-0.357,28.433,21.211
E01000266,Barnet,4311,9,8.023,0.045,0.031,2.204,-1.594,0.572,22.766,20.379
E01000267,Barnet,3583,8,12.75,0.086,0.057,2.451,-1.07,-0.628,33.384,30.675
E01000268,Barnet,3191,7,15.262,0.148,0.069,8.957,-1.026,-0.132,24.859,22.772
E01000269,Barnet,3909,9,10.434,0.067,0.047,5.73,-1.522,0.173,27.931,22.356
E01000270,Barnet,3697,8,11.98,0.087,0.069,2.743,-1.613,0.109,26.546,21.073
E01000271,Barnet,4526,10,6.648,0.041,0.034,2.069,-1.838,-0.499,29.726,16.985
