,income,employment,edu_ski_tra,health_depri,crime,hous_serv,living_env,cluster_id
1542,0.088,0.078,2.928,-0.431,-0.234,27.394,26.532,2
1543,0.035,0.023,1.665,-1.28,-0.824,31.33,18.096,2
1544,0.046,0.046,4.823,-1.441,0.202,31.247,20.104,2
1545,0.074,0.056,7.841,-1.434,-0.414,27.45,19.675,2
1546,0.124,0.076,10.855,-0.576,0.211,33.615,22.863,0
1547,0.104,0.07,13.399,-0.022,0.581,22.31,30.322,0
1548,0.103,0.066,11.117,-0.594,0.2,23.423,32.863,0
1549,0.096,0.055,14.641,-0.437,0.483,22.917,32.255,0
1550,0.244,0.185,30.837,0.717,0.678,38.98,17.89,1
1551,0.328,0.215,22.888,1.202,0.847,35.542,19.516,1
1552,0.281,0.173,28.006,0.656,0.795,36.402,16.859,1
1553,0.204,0.147,19.563,0.423,1.047,35.238,25.849,1
1554,0.19,0.115,20.289,-0.157,0.737,31.231,24.105,1
1555,0.258,0.161,25.599,0.604,0.728,38.595,20.833,1
1556,0.054,0.036,2.041,-1.118,0.779,24.046,28.154,2
1557,0.146,0.096,4.038,0.012,0.526,26.215,26.678,0
1558,0.151,0.102,9.009,-0.238,1.036,28.153,25.74,0
1559,0.061,0.045,2.714,-0.783,0.417,33.761,34.021,2
1560,0.055,0.04,3.606,-0.949,-0.259,30.241,19.146,2
1561,0.075,0.066,2.778,-0.131,0.177,23.332,24.468,2
1562,0.148,0.111,7.978,-0.105,0.842,32.763,27.05,0
1563,0.069,0.056,0.842,-0.693,-0.048,33.365,23.943,2
1564,0.196,0.144,13.711,0.338,1.673,39.467,30.056,1
1565,0.177,0.135,16.692,-0.139,0.58,34.075,29.524,0
1566,0.132,0.081,6.918,-0.373,0.504,25.021,29.279,0
1567,0.222,0.146,20.188,0.606,0.401,34.524,17.644,1
1568,0.082,0.064,4.558,-0.385,0.296,20.796,39.632,2
1569,0.06,0.059,1.473,-0.431,0.053,18.905,36.077,2
1570,0.287,0.19,19.927,0.476,0.159,31.45,18.701,1
1571,0.158,0.094,19.998,-0.332,0.565,34.476,20.468,0
1572,0.056,0.055,12.532,-0.589,-0.226,21.29,13.888,2
1573,0.089,0.077,8.267,-0.465,0.496,24.358,22.509,0
1574,0.092,0.06,12.223,-0.528,0.511,25.195,17.078,2
1575,0.094,0.086,22.059,-0.416,0.619,20.584,18.965,0
1576,0.09,0.071,11.004,-0.484,0.144,24.478,15.736,2
1577,0.076,0.051,9.006,-0.374,-0.368,26.077,16.642,2
1578,0.209,0.17,28.76,0.456,0.71,23.343,20.569,1
1579,0.228,0.197,33.606,0.686,0.536,28.106,16.443,1
1580,0.077,0.066,4.295,-0.254,0.374,18.145,31.123,2
1581,0.035,0.045,9.129,-0.989,-0.318,22.12,17.707,2
1582,0.042,0.039,7.544,-1.078,-0.597,15.509,25.502,2
1583,0.12,0.084,10.649,-0.408,0.282,19.099,36.813,0
1584,0.057,0.054,2.945,-0.657,0.107,45.313,19.671,2
1585,0.127,0.121,5.636,0.023,0.735,26.123,25.002,0
1586,0.087,0.061,10.415,-0.31,-0.375,23.165,25.954,2
1587,0.12,0.088,18.058,-0.042,-0.327,25.007,30.393,0
